file_name	seed	formula_x	formula_y
2020-12-12-20-17_seed_6224.png	6224	runif(1, -1, 1) * x_i^2 - sin(y_i^4)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2020-12-12-20-18_seed_5746.png	5746	runif(1, -1, 1) * x_i^2 - sin(y_i^4)	runif(1, -1, 1) * y_i^3 - tan(x_i^2)
2020-12-12-20-19_seed_692.png	692	runif(1, -1, 1) * x_i^2 - sin(y_i^4)	runif(1, -1, 1) * y_i^3 - tan(x_i^2)
2020-12-12-20-20_seed_4713.png	4713	runif(1, -1, 1) * x_i^2 - sin(y_i^4)	runif(1, -1, 1) * y_i^2 - tan(x_i^3)
2020-12-12-20-21_seed_6125.png	6125	runif(1, -1, 1) * x_i^2 - cos(y_i^4)	runif(1, -1, 1) * y_i^2 - tan(x_i^3)
2020-12-12-20-22_seed_6902.png	6902	runif(1, -1, 1) * x_i^2 - cos(y_i^4)	runif(1, -1, 1) * y_i^2 - tan(x_i^5)
2020-12-12-20-23_seed_2578.png	2578	runif(1, -1, 1) * x_i^2 - cos(y_i^4)	runif(1, -1, 1) * y_i^2 - tan(x_i^3)
2020-12-12-20-24_seed_1829.png	1829	runif(1, -1, 1) * x_i^2 - cos(y_i^4)	runif(1, -1, 1) * y_i^2 - tan(x_i^3)
2020-12-12-20-24_seed_1797.png	1797	runif(1, -1, 1) * x_i^2 - cos(y_i^4)	runif(1, -1, 1) * y_i^2 - tan(x_i^3)
2020-12-12-20-24_seed_5643.png	5643	runif(1, -1, 1) * x_i^2 - cos(y_i^4)	runif(1, -1, 1) * y_i^2 - tan(x_i^3)
2020-12-12-20-25_seed_4919.png	4919	runif(1, -1, 1) * x_i^2 - cos(y_i^4)	runif(1, -1, 1) * y_i^2 - tan(x_i^3)
2020-12-12-20-25_seed_8986.png	8986	runif(1, -1, 1) * x_i^2 - cos(y_i^4)	runif(1, -1, 1) * y_i^2 - tan(x_i^3)
